Name,ParentFolder,LastFolder,PathDepth,Type,FullName,Value,AppliedTo
$mv_Corin_PMF_last_2_months,$ICON_storages,$ICON_storages.Corin.ACT_Env_Guidelines,4,Modelled Variable,$ICON_storages.Corin.ACT_Env_Guidelines.mv_Corin_PMF_last_2_months,Functions/Functions\Functions@ICON_storages@Corin@ACT_Env_Guidelines@$f_PMF_threshold@$f_PMF_threshold,NA
$mv_DS_Corin,$ICON_storages,$ICON_storages.Corin.ACT_Env_Guidelines,4,Modelled Variable,$ICON_storages.Corin.ACT_Env_Guidelines.mv_DS_Corin,UMB_Cotter_R_below_Corin_410752/Downstream Flow\Downstream Flow,NA
$mv_Corin_RMF_last_2_months,$ICON_storages,$ICON_storages.Corin.ACT_Env_Guidelines,4,Modelled Variable,$ICON_storages.Corin.ACT_Env_Guidelines.mv_Corin_RMF_last_2_months,Functions/Functions\Functions@ICON_storages@Corin@ACT_Env_Guidelines@$f_Corin_RMF_trigger_3day@$f_Corin_RMF_trigger_3day,NA
$mv_Corin_RMF_3day_flow_trigger,$ICON_storages,$ICON_storages.Corin.ACT_Env_Guidelines,4,Modelled Variable,$ICON_storages.Corin.ACT_Env_Guidelines.mv_Corin_RMF_3day_flow_trigger,Functions/Functions\Functions@ICON_storages@Corin@ACT_Env_Guidelines@$f_Corin_RMF_threshold@$f_Corin_RMF_threshold,NA
$mv_Corin_csv,$ICON_storages,$ICON_storages.Corin,3,Modelled Variable,$ICON_storages.Corin.mv_Corin_csv,UMB_Corin_Dam/Storage Volume\Storage Volume,NA
$mv_Corin_dsv,$ICON_storages,$ICON_storages.Corin,3,Modelled Variable,$ICON_storages.Corin.mv_Corin_dsv,UMB_Corin_Dam/Dead Storage Volume\Dead Storage Volume,NA
$mv_Corin_fsv,$ICON_storages,$ICON_storages.Corin,3,Modelled Variable,$ICON_storages.Corin.mv_Corin_fsv,UMB_Corin_Dam/Full Supply Volume\Full Supply Volume,NA
$mv_Corin_inflow,$ICON_storages,$ICON_storages.Corin,3,Modelled Variable,$ICON_storages.Corin.mv_Corin_inflow,UMB_Corin_Dam_SID/Downstream Flow\Downstream Flow,NA
$pv_Corin_flush_pattern,$ICON_storages,$ICON_storages.Corin,3,Pattern Variable,$ICON_storages.Corin.pv_Corin_flush_pattern,{0,NA
$pv_Corin_env_release_thresholds,$ICON_storages,$ICON_storages.Corin,3,Pattern Variable,$ICON_storages.Corin.pv_Corin_env_release_thresholds,{15,NA
